Condition,Symptom,RiskLevel,AgeGroup,Category,Suggestion
Diabetes,Fatigue,Low,0-17,Lifestyle Tip,"Eat small meals, include playtime activity. Rest when needed, eat balanced meals, and avoid overexertion. This is manageable with simple care. Consult doctor if severe/persistent."
Diabetes,Fatigue,Low,0-17,Self-Monitoring,"Keep a log of meals and energy levels. Rest when needed, eat balanced meals, and avoid overexertion. This is manageable with simple care. Consult doctor if severe/persistent."
Diabetes,Fatigue,Low,0-17,Medical Advice,"Follow pediatric diabetes care guidance. Rest when needed, eat balanced meals, and avoid overexertion. This is manageable with simple care. Consult doctor if severe/persistent."
Diabetes,Fatigue,Moderate,0-17,Lifestyle Tip,"Limit sugary snacks at school. Rest when needed, eat balanced meals, and avoid overexertion. Be more cautious and track symptoms closely. Consult doctor if severe/persistent."
Diabetes,Fatigue,Moderate,0-17,Self-Monitoring,"Parents help check sugar levels regularly. Rest when needed, eat balanced meals, and avoid overexertion. Be more cautious and track symptoms closely. Consult doctor if severe/persistent."
Diabetes,Fatigue,Moderate,0-17,Medical Advice,"Follow pediatric diabetes care guidance. Rest when needed, eat balanced meals, and avoid overexertion. Be more cautious and track symptoms closely. Consult doctor if severe/persistent."
Diabetes,Fatigue,High,0-17,Lifestyle Tip,"Eat small meals, include playtime activity. Rest when needed, eat balanced meals, and avoid overexertion. Seek urgent medical help if symptoms do not improve quickly. Consult doctor if severe/persistent."
Diabetes,Fatigue,High,0-17,Self-Monitoring,"Keep a log of meals and energy levels. Rest when needed, eat balanced meals, and avoid overexertion. Seek urgent medical help if symptoms do not improve quickly. Consult doctor if severe/persistent."
Diabetes,Fatigue,High,0-17,Medical Advice,"Visit doctor regularly for check-ups. Rest when needed, eat balanced meals, and avoid overexertion. Seek urgent medical help if symptoms do not improve quickly. Consult doctor if severe/persistent."
Diabetes,Fatigue,Low,18-39,Lifestyle Tip,"Eat smaller, frequent meals. Rest when needed, eat balanced meals, and avoid overexertion. This is manageable with simple care. Consult doctor if severe/persistent."
Diabetes,Fatigue,Low,18-39,Self-Monitoring,"Keep a personal log of readings. Rest when needed, eat balanced meals, and avoid overexertion. This is manageable with simple care. Consult doctor if severe/persistent."
Diabetes,Fatigue,Low,18-39,Medical Advice,"Schedule regular follow-ups. Rest when needed, eat balanced meals, and avoid overexertion. This is manageable with simple care. Consult doctor if severe/persistent."
Diabetes,Fatigue,Moderate,18-39,Lifestyle Tip,"Eat smaller, frequent meals. Rest when needed, eat balanced meals, and avoid overexertion. Be more cautious and track symptoms closely. Consult doctor if severe/persistent."
Diabetes,Fatigue,Moderate,18-39,Self-Monitoring,"Keep a personal log of readings. Rest when needed, eat balanced meals, and avoid overexertion. Be more cautious and track symptoms closely. Consult doctor if severe/persistent."
Diabetes,Fatigue,Moderate,18-39,Medical Advice,"Schedule regular follow-ups. Rest when needed, eat balanced meals, and avoid overexertion. Be more cautious and track symptoms closely. Consult doctor if severe/persistent."
Diabetes,Fatigue,High,18-39,Lifestyle Tip,"Eat smaller, frequent meals. Rest when needed, eat balanced meals, and avoid overexertion. Seek urgent medical help if symptoms do not improve quickly. Consult doctor if severe/persistent."
Diabetes,Fatigue,High,18-39,Self-Monitoring,"Check blood sugar at the same time daily. Rest when needed, eat balanced meals, and avoid overexertion. Seek urgent medical help if symptoms do not improve quickly. Consult doctor if severe/persistent."
Diabetes,Fatigue,High,18-39,Medical Advice,"Take medicines as prescribed. Rest when needed, eat balanced meals, and avoid overexertion. Seek urgent medical help if symptoms do not improve quickly. Consult doctor if severe/persistent."
